TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
EXTRANJERA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);149;89;-40,3
EXTRANJERA;6.-TRµFICO DE DROGAS (EU);2;4;100,0
EXTRANJERA;7.-DA•OS;41;45;9,8
EXTRANJERA;8.-HURTOS;2567;2329;-9,3
EXTREMADURA;1.-DELITOS Y FALTAS (EU);29470;29338;-0,4
EXTREMADURA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);13;7;-46,2
EXTREMADURA;3.-DELINCUENCIA VIOLENTA (EU);650;670;3,1
EXTREMADURA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);388;390;0,5
EXTREMADURA;4.-ROBOS CON FUERZA;5207;5079;-2,5
EXTREMADURA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1398;1439;2,9
EXTREMADURA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);418;402;-3,8
EXTREMADURA;6.-TRµFICO DE DROGAS (EU);291;306;5,2
EXTREMADURA;7.-DA•OS;3510;3269;-6,9
EXTREMADURA;8.-HURTOS;9014;9523;5,6
GALICIA;1.-DELITOS Y FALTAS (EU);83180;81237;-2,3
GALICIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);16;15;-6,3
GALICIA;3.-DELINCUENCIA VIOLENTA (EU);2772;2420;-12,7
GALICIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1558;1338;-14,1
GALICIA;4.-ROBOS CON FUERZA;13300;13303;0,0
GALICIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3845;4563;18,7
GALICIA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1696;1435;-15,4
GALICIA;6.-TRµFICO DE DROGAS (EU);432;409;-5,3
GALICIA;7.-DA•OS;11394;10771;-5,5
GALICIA;8.-HURTOS;23606;24200;2,5
Gipuzkoa;1.-DELITOS Y FALTAS (EU);24402;23583;-3,4
Gipuzkoa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;3;-25,0
Gipuzkoa;3.-DELINCUENCIA VIOLENTA (EU);779;572;-26,6
Gipuzkoa;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);491;305;-37,9
Gipuzkoa;4.-ROBOS CON FUERZA;5944;5327;-10,4
Gipuzkoa;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1454;1670;14,9
Gipuzkoa;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);247;238;-3,6
Gipuzkoa;6.-TRµFICO DE DROGAS (EU);131;102;-22,1
Gipuzkoa;7.-DA•OS;2135;1862;-12,8
