TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
Provincia de Sevilla;1.-DELITOS Y FALTAS (EU);87384;82146;-6,0
Provincia de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;15;87,5
Provincia de Sevilla;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2460;2231;-9,3
Provincia de Sevilla;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);3718;3382;-9,0
Provincia de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1999;1981;-0,9
Provincia de Sevilla;6.-TRÁFICO DE DROGAS (EU);396;326;-17,7
Provincia de Sevilla;7.-DAÑOS;8129;7395;-9,0
Provincia de Sevilla;8.-HURTOS;30380;28201;-7,2
Municipio de Alcalá de Guadaíra;1.-DELITOS Y FALTAS (EU);4094;3847;-6,0
Municipio de Alcalá de Guadaíra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Alcalá de Guadaíra;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);77;47;-39,0
Municipio de Alcalá de Guadaíra;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);274;224;-18,2
Municipio de Alcalá de Guadaíra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);75;73;-2,7
Municipio de Alcalá de Guadaíra;6.-TRÁFICO DE DROGAS (EU);22;12;-45,5
Municipio de Alcalá de Guadaíra;7.-DAÑOS;423;392;-7,3
Municipio de Alcalá de Guadaíra;8.-HURTOS;1324;1171;-11,6
Municipio de Dos Hermanas;1.-DELITOS Y FALTAS (EU);4809;4985;3,7
Municipio de Dos Hermanas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100,0
Municipio de Dos Hermanas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);109;130;19,3
Municipio de Dos Hermanas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);149;141;-5,4
Municipio de Dos Hermanas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);123;140;13,8
Municipio de Dos Hermanas;6.-TRÁFICO DE DROGAS (EU);24;18;-25,0
Municipio de Dos Hermanas;7.-DAÑOS;601;590;-1,8
Municipio de Dos Hermanas;8.-HURTOS;1468;1678;14,3
Municipio de Sevilla;1.-DELITOS Y FALTAS (EU);47612;43929;-7,7
Municipio de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;5;66,7
Municipio de Sevilla;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1882;1651;-12,3
Municipio de Sevilla;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1286;918;-28,6
Municipio de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1260;1164;-7,6
Municipio de Sevilla;6.-TRÁFICO DE DROGAS (EU);153;127;-17,0
Municipio de Sevilla;7.-DAÑOS;4407;3930;-10,8
Municipio de Sevilla;8.-HURTOS;19557;17807;-8,9
Municipio de Utrera;1.-DELITOS Y FALTAS (EU);2574;2540;-1,3
Municipio de Utrera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Utrera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);31;35;12,9
Municipio de Utrera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);119;144;21,0
Municipio de Utrera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);44;62;40,9
Municipio de Utrera;6.-TRÁFICO DE DROGAS (EU);10;10;0,0
