TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
CASTILLA Y LEÓN;7.-DAÑOS;9050;8227;-9,1
CASTILLA Y LEÓN;8.-HURTOS;21228;21541;1,5
Albacete;1.-DELITOS Y FALTAS (EU);10757;10743;-0,1
Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200,0
Albacete;3.-DELINCUENCIA VIOLENTA (EU);376;384;2,1
Albacete;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);251;245;-2,4
Albacete;4.-ROBOS CON FUERZA;1957;1988;1,6
Albacete;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);653;648;-0,8
Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);167;135;-19,2
Albacete;6.-TRÁFICO DE DROGAS (EU);99;79;-20,2
Albacete;7.-DAÑOS;1095;1145;4,6
Albacete;8.-HURTOS;3679;3786;2,9
Ciudad Real;1.-DELITOS Y FALTAS (EU);11943;11581;-3,0
Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;6;100,0
Ciudad Real;3.-DELINCUENCIA VIOLENTA (EU);346;303;-12,4
Ciudad Real;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);224;200;-10,7
Ciudad Real;4.-ROBOS CON FUERZA;2461;2534;3,0
Ciudad Real;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);828;731;-11,7
Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);164;143;-12,8
Ciudad Real;6.-TRÁFICO DE DROGAS (EU);77;109;41,6
Ciudad Real;7.-DAÑOS;1386;1342;-3,2
Ciudad Real;8.-HURTOS;2968;3017;1,7
Cuenca;1.-DELITOS Y FALTAS (EU);4881;4669;-4,3
Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Cuenca;3.-DELINCUENCIA VIOLENTA (EU);130;134;3,1
Cuenca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);68;77;13,2
Cuenca;4.-ROBOS CON FUERZA;1056;1068;1,1
Cuenca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);320;325;1,6
Cuenca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);55;46;-16,4
Cuenca;6.-TRÁFICO DE DROGAS (EU);22;30;36,4
Cuenca;7.-DAÑOS;749;652;-13,0
Cuenca;8.-HURTOS;1221;1274;4,3
Guadalajara;1.-DELITOS Y FALTAS (EU);7464;7201;-3,5
Guadalajara;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Guadalajara;3.-DELINCUENCIA VIOLENTA (EU);187;195;4,3
Guadalajara;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);136;142;4,4
Guadalajara;4.-ROBOS CON FUERZA;1864;1809;-3,0
Guadalajara;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);695;723;4,0
Guadalajara;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);286;186;-35,0
Guadalajara;6.-TRÁFICO DE DROGAS (EU);13;24;84,6
Guadalajara;7.-DAÑOS;1340;1181;-11,9
Guadalajara;8.-HURTOS;1660;1708;2,9
Toledo;1.-DELITOS Y FALTAS (EU);20905;21870;4,6
Toledo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;2;-60,0
Toledo;3.-DELINCUENCIA VIOLENTA (EU);554;530;-4,3
Toledo;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);389;386;-0,8
Toledo;4.-ROBOS CON FUERZA;6074;6903;13,6
Toledo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2441;2947;20,7
Toledo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);447;440;-1,6
Toledo;6.-TRÁFICO DE DROGAS (EU);111;126;13,5
Toledo;7.-DAÑOS;2135;2136;0,0
Toledo;8.-HURTOS;4481;4656;3,9
